freq	word
39	regular,licchavi,stupidity,untruth,rejects,gaining,blemish,expresses,limits,pretty,deal,jealous,wield,“once,staunchly,vigorous,father’s,cover,uncorrupted,announced,he’ll,promote,constricted,‘there’s,‘clearly,reverence,mind—when,uncertainty,“don’t,rock,plants,shameless,relish,tip,build,transmigrating,frequently,emerged,bodies,attraction,refute,palace,saccaka
38	warriors,hatthaka,shine,rises,needs,naturally,endurance,himalayas,loose,rare,discontent,reflect,pursuing,enduring,conflict,migāra’s,laughing,dogs,invitation,repelled,acquire,acquired,staff,departed,perish,ate,announce,property,streaming,distressing,divide,cave,mine’,stabilized,isidatta,territory,“all,jungle
37	requirements,farmer,divided,success,setting,sickness,liked,recipient,commitment,fundamentals,“great,dead,pursue,prescribed,thorns,ignorant,mind’,chickens,mistaken,kindly,monument,deceit,affect,burns,slacking,ashes,fifteenth,humans—and,contemplation,belongs,clay,butter,arrows,teaching’,foliage,steeped,miserable,carriage,extended,huts,received,indecision,nādika,“seeing,uddaka,causality,ghaṭīkāra
36	vassakāra,play,arguments,sets,frustrated,suffering](,attendant,behaviors,questioned,colors,initiative,dwell,undesirable,missed,procedure,dealing,clothed,worship,spreads,stains,filthy,fertile,“he,lucid,fired,harshly,discussions,yourselves,mind:,explored,hole,articulate,sea,endures,swords,running,“enough,alright,attitude,daughter,poison,flame,anxiety,brahmāyu,nigrodha,bait,aggivessana,tapassī
35	accomplishments,ceremony,region,disappearance,offenses,indulge,dies,split,leader,returns,focuses,disaster,correctly,infatuated,died,isipatana,horrified,unflagging,performs,jackal,intelligent,splendid,spotless,makeup,constantly,crying,clairaudience,tired,one’,kusinārā,ahead,hunger,frightened,plane,grains,likes,ought,chicken,creates,harming,breath,during,plan,slope,fraction,killer,eggs,grant,abode,unfueled,‘mendicant,phoenixes,loyal
34	removing,dimensions,determine,offered,restrain,footprints,hateful,discussing,dispel,disappointed,icchānaṅgala,nandaka,declares,devotion,cowherd,pebbles,“one,repulsiveness,enjoyed,context,duty,therefore,feces,putting,“we,generation,multiplying,controlling,banks,pairs,unmarred,‘as,worked,satisfying,illustrious,fortune,resulting,anywhere,directions,shared,===================================================================,unfinished,repeated,weary,fills,“as,“you,raising,service,quarrels,[dn,**[dn,/dn,xhtml#dn,>dn,annihilated,crystal,vulnerability
33	lump,quick,timely,inappropriate,fools,convergence,preserve,searching,compare,impressive,tight,straightforward,delights,nanda,gains,harem,saṅgārava,“those,advocate,eminent,definitely,rag,considering,occurs,partners,jāṇussoṇi,cream,concerned,untroubled,abandoned,huge,untrue,power:,pressed,adultery,scrupulous,rule,flower,‘what’s,colts,tolerate,keenly,tireless,‘such,“sāriputta,‘here,trapped,uplifted,undecided,mendicant!,ball,baby,arrive,dreadful,sāriputta!,heads,neck,verses:,poṭṭhapāda,depends,mātali,castes,dried,susīma
32	patience,expressions,northern,fail,treated,rejoice,possess,soṇa,earthquake,version,feature,habits,brilliant,acknowledge,presented,belongings,crack,arouse,restraining,replete,hosts,swamped,logic,dancing,ghosita’s,galaxy,truthfully,swiftly,misapprehension,mindfully,prevail,rejected,receiving,invited,rarely,venerable’s,sin,raw,matted,powder,firmly,market,founder,jewel,specific,keenness,māgaṇḍiya,“why,dismissed,bond,warmth,fairies,perfumes,facing,“clearly,oneness,pañcakaṅga
31	textual,shady,charge,favoritism,including,enjoys,similes,suffer,lasts,mahācunda,central,newly,rebirths,music,succeeds,appointed,differ,establishing,kokālika,western,focused,stopped,“who,masters,elders,deviousness,victory,adornment,outstanding,washing,amid,cows,testament,acted,idea,================================================================,fair,involved,stainless,lakes,satisfaction,rotten,eradicated,creature,terrified,safely,====================================================================,ruler,mere,deny,vajjian,misconception,defect,degree,“certainly,nasty,decays,diseases,fourfold,preference,chose,king!,imbued,necessary,aṅgulimāla
30	basic,maker,flowers,jains,essential,cowardice,beasts,risen,ordained,gather,kimbila,fellow,riches,send,nandiya,unclouded,finger,murder,organized,eighty,prime,activities,respecting,annoyance,pile,legitimately,“now,zeal,strives,conclusion,eighteen,liberating,singing,waking,“i’m,eventually,immaculate,working,leaf,establishes,committing,hindered,waters,bending,extending,sāriputta:,choice,identifying,knowledgeable,delighting,bronze,reciting,girl,wounds,revered,sineru,remembered,summons,debate,caravan,dīgha,grouped,yours:,rd)](#sn,anurādha,more:,thousandth
29	settlement,everyone,honey,accuse,depart,pus,bathe,sacrifices,unattached,midday,accompany,teaching!,plenty,tears,kosalan,antelope,position,partner,horn,incapable,penetrate,refusing,weeping,assurance,teaching\,reasonable,perfectly,readily,shake,wrapped,claim:,crossing,heir,income,obtained,ānanda!,themselves:,wake,cotton,wool,gladdening,slant,theories,dint,oppressed,lohicca,moreover,label,dhanañjāni,suffering](#sn,“rādha
